pair_name,family,trials,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,speculative_tps,speedup,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total,rounds,generated_tokens
opt_1p3b_to_6p7b,opt,72,18.33570523611111,3594.2484054166666,54.56511477777778,31.271126236111108,1.70531475,0.8508391527777778,0.7854684999999999,0.21453149999999999,3.351026597222222,4.351026597222222,73.41903255555556,61.26237718055555,1082.5363583194444,1014.5087517500001,16.666666666666668,65.90277777777777
distilgpt2_to_gpt2_medium,gpt2,72,55.807195819444445,1176.3715402916669,17.941885416666665,79.639939125,1.4270580833333333,0.7195060555555556,0.6036197777777779,0.39638022222222224,2.737657180555556,3.7376571805555554,23.74257148611111,21.458580819444443,416.9847245972222,406.0544697638889,19.083333333333332,65.61111111111111
qwen25_0p5b_to_3b,qwen2.5,72,23.155661319444445,2843.841842111111,43.220590944444446,25.99836252777778,1.1228435277777777,0.8773034444444444,0.8188793611111111,0.1811206388888889,3.4922497916666666,4.492249791666667,119.60739308333333,49.63407022222222,1709.039347375,806.1444601944445,16.34722222222222,65.84722222222223
opt_125m_to_1p3b,opt,72,59.08460768055555,1121.2026668888889,16.99252688888889,65.64484729166666,1.112242,0.8272448194444445,0.7557237083333334,0.24427629166666667,3.219421347222222,4.219421347222222,39.74739136111111,22.57528041666667,609.3035391944445,381.65196045833335,17.083333333333332,66.02777777777777
pythia_410m_to_2p8b,pythia,72,37.76758016666667,1751.6929783611113,26.495134958333335,37.69730838888889,0.99846175,0.854268236111111,0.7787939722222222,0.22120602777777776,3.3796585694444445,4.3796585694444445,82.97378340277777,31.178114583333336,1222.770011236111,516.7876987916666,16.75,66.15277777777777
pythia_160m_to_1b,pythia,72,70.44347884722222,937.1630342361111,14.209794305555555,63.47133319444444,0.9006313333333333,0.7938042777777778,0.6791516111111111,0.3208483888888889,3.088681277777778,4.088681277777777,45.459341111111115,17.892450736111112,717.7852751666667,310.31847502777777,17.59722222222222,66.0
smollm2_135m_to_1p7b,smollm2,72,39.89805061111111,1651.966429861111,25.0835645,24.342451999999998,0.6107513333333334,0.793251,0.6899024583333334,0.3100975416666667,3.0808191527777775,4.080819152777778,137.87670006944444,31.628316263888888,2169.5087405,550.2194851805556,17.52777777777778,65.90277777777777
