pair_name,family,trials,baseline_large_tps,speculative_tps,speedup,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total,rounds,generated_tokens
qwen25_0p5b_to_3b,qwen2.5,48,8.811663416666667,17.808454083333334,2.0203023125,0.8596097083333335,0.7837194375000002,0.21628056250000005,2.5486458124999993,3.5486458124999998,70.10817449999999,124.65101379166668,1283.3496604166667,2428.387210416666,19.458333333333332,65.54166666666667
distilgpt2_to_gpt2_medium,gpt2,48,92.95426518749998,106.24094812500003,1.1426047708333331,0.7600911250000002,0.6731015833333335,0.3268984166666666,2.2216395624999996,3.2216395624999996,13.141321291666666,14.75550710416667,267.63747916666665,314.1657145833333,21.5,65.54166666666667
qwen25_0p5b_to_1p5b,qwen2.5,48,41.594274125,37.09607795833333,0.8935259791666664,0.9130517083333335,0.8733924375000002,0.12660756250000002,2.702872749999999,3.7028727499999996,68.0329251875,29.378056645833322,1179.9364874999999,544.0950687499999,18.604166666666668,65.47916666666667
qwen25_1p5b_to_3b,qwen2.5,48,7.458334520833335,3.5174075625000003,0.47197595833333333,0.9007374583333333,0.8564061666666666,0.14359383333333334,2.682432208333333,3.6824322083333336,920.6200046041666,144.70084406249998,16034.7903875,2721.3465562500005,18.8125,65.4375
