pair_name,family,approx_model_name,target_model_name,task,prompt_id,gamma,top_k,top_p,temperature,max_tokens,baseline_large_tps,baseline_small_tps,speculative_tps,speedup,rounds,generated_tokens,accepted_count,resample_count,target_sample_count,proposed_draft_tokens,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,long_summarization,long_summarization_1,2,50,0.0,1.0,64,8.385254,,15.786103,1.882603,23,64,41,3,20,46,0.891304,0.869565,0.130435,1.782609,2.782609,49.299017,124.434843,1133.8774,2862.0014
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,long_summarization,long_summarization_1,2,50,0.9,1.0,64,8.420241,,14.205899,1.687113,24,65,41,5,19,48,0.854167,0.791667,0.208333,1.708333,2.708333,56.347683,131.673537,1352.3444,3160.1649
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,long_summarization,long_summarization_1,4,20,0.0,1.0,64,9.539101,,18.712909,1.961706,18,68,50,7,11,72,0.694444,0.611111,0.388889,2.777778,3.777778,80.026967,118.697256,1440.4854,2136.5506
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,long_summarization,long_summarization_1,4,20,0.9,1.0,64,9.432994,,18.360928,1.946458,18,67,49,9,9,72,0.680556,0.5,0.5,2.722222,3.722222,81.003133,118.454061,1458.0564,2132.1731
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,long_summarization,long_summarization_1,4,50,0.0,1.0,64,8.995972,,18.434751,2.049223,17,64,47,7,10,68,0.691176,0.588235,0.411765,2.764706,3.764706,80.091194,120.855624,1361.5503,2054.5456
qwen25_0p5b_to_3b,qwen2.5,Qwen/Qwen2.5-0.5B,Qwen/Qwen2.5-3B,long_summarization,long_summarization_1,4,50,0.9,1.0,64,9.323733,,18.713413,2.007073,17,67,50,10,7,68,0.735294,0.411765,0.588235,2.941176,3.941176,86.599218,120.444894,1472.1867,2047.5632
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,2,20,0.0,1.0,64,8.015479,,4.051517,0.505462,23,66,43,2,21,46,0.934783,0.913043,0.086957,1.869565,2.869565,574.152578,131.638526,13205.5093,3027.6861
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,2,20,0.9,1.0,64,7.740139,,3.427701,0.442847,24,64,40,6,18,48,0.833333,0.75,0.25,1.666667,2.666667,625.948742,149.342879,15022.7698,3584.2291
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,2,50,0.0,1.0,64,7.34987,,3.610423,0.491223,22,66,44,0,22,44,1.0,1.0,0.0,2,3,671.011045,156.799168,14762.243,3449.5817
qwen25_1p5b_to_3b,qwen2.5,Qwen/Qwen2.5-1.5B,Qwen/Qwen2.5-3B,continuation,continuation_0,2,50,0.9,1.0,64,7.192416,,3.638366,0.505862,23,65,42,3,20,46,0.913043,0.869565,0.130435,1.826087,2.826087,624.47513,149.578835,14362.928,3440.3132
