pair_name,family,gamma,top_k,top_p,trials,baseline_large_tps,speculative_tps,speedup,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total,rounds,generated_tokens
qwen25_0p5b_to_1p5b,qwen2.5,2,50,0.0,6,41.59949016666667,38.818004,0.9343438333333335,0.9598153333333332,0.9413701666666666,0.058629833333333325,1.9196311666666668,2.9196311666666666,45.06525083333333,27.7633305,1006.7549833333333,620.2013,22.333333333333332,65.16666666666667
qwen25_0p5b_to_1p5b,qwen2.5,4,50,0.0,6,41.0027545,37.916847499999996,0.9285723333333333,0.9244791666666666,0.8779761666666666,0.12202383333333333,3.6979166666666665,4.697916666666667,91.44321616666666,29.545360000000002,1284.6674333333333,414.98898333333335,14.0,65.5
qwen25_0p5b_to_1p5b,qwen2.5,2,20,0.0,6,41.53425016666667,38.31672416666667,0.9243395,0.9598153333333334,0.9416995,0.0583005,1.9196311666666668,2.9196311666666666,45.8413215,28.059382,1023.40315,626.7453166666668,22.333333333333332,65.16666666666667
qwen25_0p5b_to_1p5b,qwen2.5,4,20,0.0,6,41.19988633333333,37.59784366666667,0.9140100000000001,0.8678569999999999,0.7859126666666666,0.21408733333333332,3.4714286666666667,4.471428666666667,87.103115,28.6217375,1262.0264833333335,415.12196666666665,14.5,64.66666666666667
qwen25_0p5b_to_1p5b,qwen2.5,2,50,0.9,6,40.555994166666665,36.74214633333333,0.9052405,0.9513889999999999,0.9375,0.0625,1.9027776666666665,2.9027776666666667,47.15561466666667,29.501490166666667,1069.6929166666666,669.0304666666667,22.666666666666668,65.66666666666667
qwen25_0p5b_to_1p5b,qwen2.5,2,20,0.9,6,41.88701316666666,36.649255000000004,0.8750460000000001,0.9263173333333334,0.90137,0.09863,1.852635,2.8526349999999994,46.22092116666667,29.200951833333335,1055.8305,667.1888333333333,22.833333333333332,65.0
qwen25_0p5b_to_1p5b,qwen2.5,4,50,0.9,6,41.5103515,34.62321083333333,0.8350498333333335,0.8303158333333335,0.7667873333333333,0.2332126666666667,3.321263333333333,4.3212633333333335,90.41078716666665,31.033103999999998,1386.1121666666668,474.73033333333336,15.333333333333334,65.5
qwen25_0p5b_to_1p5b,qwen2.5,4,20,0.9,6,43.464453,36.10459216666666,0.8316058333333335,0.8844246666666665,0.8345236666666667,0.1654763333333333,3.5376983333333336,4.537698333333334,91.023175,31.299097166666666,1351.0042666666666,464.75335,14.833333333333334,67.16666666666667
qwen25_1p5b_to_3b,qwen2.5,2,20,0.0,6,7.518045833333333,3.863238833333334,0.5138254999999999,0.9539555000000001,0.9290458333333333,0.07095416666666667,1.9079104999999998,2.9079105,609.0814728333334,142.040518,13805.566566666668,3220.241783333333,22.666666666666668,65.83333333333333
qwen25_1p5b_to_3b,qwen2.5,2,50,0.0,6,7.461156833333334,3.8077160000000005,0.5107356666666666,0.9586363333333333,0.9448483333333334,0.055151666666666675,1.9172726666666666,2.917272666666667,619.0389038333334,145.2439546666667,13917.015566666667,3265.63705,22.5,65.5
qwen25_1p5b_to_3b,qwen2.5,2,50,0.9,6,7.388632166666667,3.6972341666666666,0.500645,0.8897944999999999,0.8577896666666667,0.14221033333333333,1.7795893333333332,2.7795893333333335,607.2493468333333,143.0819285,14168.257783333334,3337.4521833333342,23.333333333333332,64.83333333333333
qwen25_1p5b_to_3b,qwen2.5,2,20,0.9,6,7.369943666666665,3.6158406666666667,0.49072600000000005,0.8796843333333332,0.8415908333333334,0.15840916666666668,1.7593686666666668,2.7593686666666666,615.2677281666666,146.064821,14459.91195,3434.51755,23.5,64.66666666666667
qwen25_1p5b_to_3b,qwen2.5,4,50,0.0,6,7.433777833333333,3.5052038333333333,0.4717153333333333,0.9477869999999999,0.8943223333333333,0.10567766666666666,3.7911478333333335,4.7911478333333335,1220.4790135,144.27954400000002,16679.873099999997,1972.5633999999998,13.666666666666666,65.33333333333333
qwen25_1p5b_to_3b,qwen2.5,4,20,0.0,6,7.471546666666666,3.407949333333333,0.4558056666666667,0.9103173333333333,0.8420635000000001,0.1579365,3.6412698333333338,4.641269833333333,1217.4440193333332,142.98304216666665,17262.72136666667,2029.0130666666664,14.166666666666666,65.5
qwen25_1p5b_to_3b,qwen2.5,4,20,0.9,6,7.536183000000001,3.1772953333333334,0.42225399999999996,0.8497436666666666,0.7964616666666667,0.20353833333333335,3.3989748333333334,4.398974833333333,1234.889241,146.98733166666668,18738.573650000002,2232.98645,15.166666666666666,66.0
qwen25_1p5b_to_3b,qwen2.5,4,50,0.9,6,7.487390166666667,3.0647823333333335,0.41010050000000003,0.815981,0.7451271666666667,0.2548728333333334,3.2639240000000007,4.263924,1241.5103113333334,146.92561249999997,19246.403116666665,2278.3609666666666,15.5,65.83333333333333
