pair_name,family,gamma,top_k,top_p,trials,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,speculative_tps,speedup,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total,rounds,generated_tokens
opt_1p3b_to_6p7b,opt,6,100,0.0,8,18.120965375,3600.91344,55.225240375,34.350143875,1.8972143750000001,0.8479165,0.76041675,0.23958325,5.0875,6.0875,112.6114215,61.632262,1210.133217625,662.343213125,10.75,65.25
opt_1p3b_to_6p7b,opt,6,50,0.0,8,18.244773625,3597.116395125,54.895045124999996,34.119995125,1.87259675,0.84270825,0.7155303749999999,0.284469625,5.05625,6.05625,112.95752362500001,61.592211375,1227.926842125,669.659583875,10.875,65.625
opt_1p3b_to_6p7b,opt,4,100,0.0,8,18.33129125,3600.383565375,54.560068875,33.0922355,1.80628325,0.901097375,0.838987875,0.161012125,3.60439,4.60439,76.308237875,60.4322805,1096.49055075,868.79748075,14.375,66.0
opt_1p3b_to_6p7b,opt,6,100,0.9,8,18.302782875,3619.68348975,54.67858875,32.315419,1.76367075,0.819444375,0.696969875,0.303030125,4.9166666249999995,5.9166666249999995,115.399169875,64.83173175,1298.349158625,729.52338275,11.25,66.25
opt_1p3b_to_6p7b,opt,4,50,0.0,8,18.555445625,3597.3205577500003,53.91612825,32.156532,1.735135375,0.86531075,0.806882125,0.193117875,3.4612427500000003,4.46124275,75.896178125,60.364855874999996,1145.905834,913.061557125,15.125,66.75
opt_1p3b_to_6p7b,opt,6,50,0.9,8,18.586116375,3618.3316365,53.83401575,31.88228475,1.7138555,0.8031057500000001,0.691781625,0.308218375,4.8186350000000004,5.8186350000000004,114.662609375,64.643883375,1358.17248725,766.533926625,11.875,67.25
opt_1p3b_to_6p7b,opt,4,100,0.9,8,18.37321575,3619.50634725,54.439163125,30.6421195,1.66813425,0.847278,0.779414875,0.220585125,3.38911225,4.38911225,78.082469375,62.766869375,1190.1115415,956.973478625,15.25,66.5
opt_1p3b_to_6p7b,opt,4,50,0.9,8,18.089042,3620.940121375,55.293543625,30.064604875,1.662747625,0.822780875,0.75804425,0.24195575,3.2911238750000003,4.291123875,77.685167625,62.683644875,1194.142714875,963.897517875,15.375,65.5
opt_1p3b_to_6p7b,opt,2,100,0.0,8,18.118396625,3601.39334625,55.206976499999996,28.871115624999998,1.59349625,0.951272125,0.93447375,0.06552625000000001,1.9025445,2.9025445,39.612567999999996,59.157020375,891.024100875,1331.105815375,22.5,65.25
opt_1p3b_to_6p7b,opt,2,50,0.0,8,18.09012475,3599.97216525,55.287661875,28.377309625,1.568953375,0.9247775,0.90349125,0.09650875,1.849555375,2.849555375,39.5629505,59.098115875,904.8738537500001,1351.9489182500001,22.875,65.125
