pair_name,family,gamma,top_k,top_p,trials,baseline_large_tps,baseline_large_elapsed_ms,avg_target_baseline_generate_ms_per_token,speculative_tps,speedup,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total,rounds,generated_tokens
opt_1p3b_to_6p7b,opt,2,50,0.9,8,17.961394625,3618.908621875,55.68236325,27.612661,1.53747,0.922966125,0.904149875,0.09585012500000001,1.8459320000000001,2.845932,40.695101125,60.64067475,930.9624025,1387.3746515,22.875,65.0
opt_1p3b_to_6p7b,opt,2,100,0.9,8,17.959521,3619.242392,55.690205625,27.383227125,1.524528375,0.9101454999999999,0.886295375,0.113704625,1.820291,2.820291,40.696528625,60.562334875,941.06251575,1400.75733025,23.125,65.0
opt_125m_to_1p3b,opt,4,50,0.0,8,55.31811825,1207.24636825,18.20910175,67.83186875,1.229052375,0.8598125,0.77450975,0.22549025,3.439250625,4.439250625,40.94505625,22.464371875,614.381491375,337.045097375,15.0,66.25
opt_125m_to_1p3b,opt,4,100,0.0,8,56.66853225,1160.41760025,17.6500535,67.75058325,1.1961435,0.860478875,0.805435875,0.194564125,3.441916125,4.4419161250000005,40.876730875,22.553419125,607.275743,335.232416125,14.875,65.75
qwen25_0p5b_to_3b,qwen2.5,6,50,0.0,8,22.775057,2931.652933,43.988001,27.100680125,1.19012,0.90975375,0.8607955,0.1392045,5.45852275,6.45852275,184.5756445,50.8445765,1914.514858625,527.571524875,10.375,66.75
qwen25_0p5b_to_3b,qwen2.5,4,50,0.0,8,22.422785125,2915.603551875,44.61218775,26.660544625,1.189351,0.929910625,0.87738075,0.12261925,3.719643,4.7196430000000005,124.23563975,50.36393075,1723.678786625,698.884738625,13.875,65.375
qwen25_0p5b_to_3b,qwen2.5,6,100,0.0,8,22.458856875,2950.823643875,44.605491125,26.676453125000002,1.187942125,0.88980425,0.852651625,0.147348375,5.33882575,6.33882575,183.806775125,50.847852125,1929.879345625,533.633169625,10.5,66.25
opt_125m_to_1p3b,opt,6,100,0.0,8,58.05010225,1154.3821655,17.241780375,68.54646075,1.182997125,0.811453875,0.736012125,0.263987875,4.868722875,5.868722875,59.918747625,23.049740375,688.000971125,264.801153125,11.5,67.0
opt_125m_to_1p3b,opt,6,50,0.0,8,57.75840825,1149.09987775,17.325314,67.111061375,1.160908,0.79054525,0.703048375,0.296951625,4.74327175,5.74327175,59.74710375,23.142242500000002,708.40921675,274.32019925,11.875,66.375
qwen25_0p5b_to_3b,qwen2.5,4,100,0.0,8,22.162565875000002,2938.969738125,45.135444125,25.47736125,1.1504175,0.8705453750000001,0.819870375,0.18012962500000002,3.482182375,4.482182375,123.452309625,50.13395775,1806.0136512499998,733.12540275,14.625,65.125
opt_125m_to_1p3b,opt,2,100,0.0,8,55.252112,1179.353431625,18.111031375,63.528073875000004,1.1501365,0.917778125,0.88831925,0.11168075,1.83555675,2.83555675,21.51106975,21.678116625,494.511008875,498.37335175,23.0,65.125
qwen25_0p5b_to_3b,qwen2.5,6,50,0.9,8,22.578522625,2950.947709625,44.339167875,25.865446125,1.147064125,0.884185625,0.806628875,0.193371125,5.305113625,6.305113625,186.76954975,53.9787975,1984.220213,573.39594,10.625,66.625
qwen25_0p5b_to_3b,qwen2.5,2,50,0.0,8,22.100632625,2947.0052459999997,45.257501500000004,25.20639025,1.14073825,0.9250143749999999,0.903717625,0.096282375,1.85002875,2.85002875,62.490888125,48.82314,1429.16728125,1116.609273,22.875,65.125
opt_125m_to_1p3b,opt,2,50,0.0,8,56.8968395,1155.953188375,17.581278875000002,63.91415225,1.123156875,0.902529625,0.865781875,0.134218125,1.80505875,2.80505875,21.09899975,21.3211615,495.652802625,501.050189875,23.5,65.75
qwen25_0p5b_to_3b,qwen2.5,4,100,0.9,8,22.121949,2967.091739625,45.233284875,24.793972375,1.1222138750000001,0.86028975,0.797684625,0.202315375,3.441159,4.441159,124.84196225,51.949017,1857.077991375,772.647937875,14.875,65.625
qwen25_0p5b_to_3b,qwen2.5,2,100,0.0,8,22.256369875,2931.9229375,44.942436375,24.92456325,1.1197267499999999,0.919939875,0.9037381250000001,0.09626187500000001,1.83987975,2.83987975,63.056996999999996,49.165821375,1450.4960805,1130.971877625,23.0,65.25
qwen25_0p5b_to_3b,qwen2.5,4,50,0.9,8,22.261764375,2947.8851773750002,44.930304875,24.6566065,1.107440125,0.860583875,0.79159225,0.20840775,3.442336375,4.442336375,125.410493125,52.33534775,1880.180780125,785.026518125,15.0,65.625
qwen25_0p5b_to_3b,qwen2.5,6,100,0.9,8,22.440024625,2963.13211975,44.60294925,24.747730625,1.1025645,0.838731125,0.7630975,0.23690250000000002,5.032386375,6.032386375,187.014897125,53.84941675,2080.583344375,599.412005875,11.125,66.5
opt_125m_to_1p3b,opt,4,50,0.9,8,55.68391625,1183.281696125,17.97130625,60.9064635,1.096748125,0.812917375,0.72748775,0.27251225,3.251669375,4.251669375,42.82267625,24.7925085,672.7303335,389.6132525,15.75,65.875
qwen25_0p5b_to_3b,qwen2.5,2,50,0.9,8,21.968215,2970.649528125,45.5361475,24.03457675,1.094329625,0.89289025,0.87174625,0.12825375,1.7857806250000001,2.785780625,63.948022,50.255963125,1503.044328125,1181.38374075,23.5,65.25
pythia_410m_to_2p8b,pythia,2,100,0.0,8,35.368915,1848.585049875,28.278157125,37.937758375,1.07285775,0.947114625,0.931215125,0.068784875,1.894229125,2.894229125,44.1320415,30.513376125,998.56674425,690.45145075,22.625,65.375
opt_125m_to_1p3b,opt,4,100,0.9,8,56.096131125,1178.96484425,17.83941475,59.625999375,1.0634505,0.77711725,0.68398525,0.31601475,3.10846925,4.10846925,42.3685865,24.4448705,687.5382502499999,396.985583,16.25,66.125
pythia_410m_to_2p8b,pythia,4,100,0.0,8,35.212632125,1856.7866515,28.409955,37.384058875,1.062282875,0.880561625,0.82403275,0.17596725,3.5222471250000003,4.522247125,87.279866625,31.3804425,1265.455190125,455.036990125,14.5,65.375
qwen25_0p5b_to_3b,qwen2.5,2,100,0.9,8,22.229405,2935.5727625,44.9982635,23.561451875,1.059669875,0.859124125,0.831378875,0.168621125,1.71824825,2.71824825,63.486399875,50.1496695,1531.25674925,1209.9755345,24.125,65.25
pythia_410m_to_2p8b,pythia,6,100,0.0,8,36.111857125,1848.279519625,27.705671,37.649211875,1.04265075,0.8719695,0.80606075,0.19393925,5.231818125,6.231818125,130.23362287499998,32.404000375,1400.3092435,348.26358500000003,10.75,66.75
opt_125m_to_1p3b,opt,2,100,0.9,8,54.855526,1190.923229625,18.2537555,57.1318835,1.040514125,0.88440325,0.85604475,0.14395525,1.768806375,2.768806375,23.550242,23.669247,555.2921783749999,558.355385875,23.625,65.25
pythia_410m_to_2p8b,pythia,4,50,0.0,8,35.485447125,1856.8351315,28.199137,36.9136475,1.040339875,0.856778875,0.7431871250000001,0.256812875,3.427115875,4.427115875,86.382392625,31.262111125,1295.798735625,468.954163875,15.0,65.875
opt_125m_to_1p3b,opt,2,50,0.9,8,55.55205225,1174.538076625,18.00236325,57.689377625,1.038578875,0.857455625,0.823610125,0.176389875,1.7149115,2.7149115,22.658612625,22.930127625,546.342073,553.126001,24.125,65.25
pythia_410m_to_2p8b,pythia,2,50,0.0,8,35.30676525,1848.518279125,28.33376475,36.4031365,1.03125975,0.8778365,0.835901625,0.16409837500000002,1.755673,2.755673,43.652620750000004,30.3776825,1041.85043825,725.1334523749999,23.875,65.25
pythia_410m_to_2p8b,pythia,2,50,0.9,8,35.10009825,1866.214252,28.49450875,35.680979875,1.016671375,0.904594375,0.8706652500000001,0.12933475,1.809188875,2.8091888750000003,45.308997749999996,31.77429025,1059.31128375,742.886801,23.375,65.5
pythia_160m_to_1b,pythia,2,100,0.0,8,67.248726875,972.414887,14.876976749999999,68.346136625,1.01666625,0.9082901250000001,0.8735095,0.1264905,1.816580125,2.816580125,23.460310375,16.390251125,545.498518125,381.11961425,23.25,65.375
pythia_410m_to_2p8b,pythia,6,50,0.0,8,35.660803875,1847.615059125,28.0669315,36.0271395,1.011691625,0.8187725,0.696807625,0.303192375,4.912635375,5.912635375,129.117558625,32.15491425,1452.588638375,361.7738295,11.25,65.875
pythia_410m_to_2p8b,pythia,2,100,0.9,8,34.550249875,1881.462245875,28.948137,34.903445500000004,1.010672125,0.8683285,0.826017625,0.173982375,1.736657125,2.736657125,44.9808415,31.752505625,1073.829473,757.99825725,23.875,65.0
opt_125m_to_1p3b,opt,6,50,0.9,8,56.3032385,1174.53522725,17.775181500000002,55.758529124999995,0.991862625,0.68923625,0.540214625,0.459785375,4.13541725,5.13541725,63.005432,26.24982725,831.15354475,345.708340125,13.25,66.125
pythia_160m_to_1b,pythia,2,50,0.0,8,67.254286625,966.69243225,14.87293825,66.5890205,0.9900795,0.88080375,0.8367497500000001,0.16325025,1.7616078750000002,2.761607875,23.568379125,16.5120915,556.6900483750001,390.03315875,23.625,65.0
opt_125m_to_1p3b,opt,6,100,0.9,8,56.407362375000005,1176.89646625,17.748562,55.560971875,0.987360125,0.66960075,0.53484525,0.46515475,4.0176045,5.0176045,61.973349125,25.7553775,842.527836625,349.9363885,13.625,66.375
pythia_410m_to_2p8b,pythia,4,100,0.9,8,35.863527250000004,1871.76755375,27.895615875,34.69538875,0.96860625,0.831349,0.739087375,0.260912625,3.325396875,4.325396875,88.91734175,33.449180750000004,1389.0900536249999,522.294856625,15.625,67.125
pythia_160m_to_1b,pythia,4,100,0.0,8,67.0636755,978.827927625,14.921805875,64.078355625,0.9569645,0.796565,0.7023065000000001,0.2976935,3.18626,4.18626,46.0815775,17.276996875000002,731.137885,274.159381875,15.875,65.625
pythia_410m_to_2p8b,pythia,6,50,0.9,8,35.394093,1882.4866315,28.270805625,33.6565145,0.94921975,0.791012875,0.62979725,0.37020275,4.746076875,5.746076875,132.548435125,35.180130875,1573.3838685,416.987633,11.875,66.625
pythia_410m_to_2p8b,pythia,4,50,0.9,8,35.7148185,1861.91692825,28.0096375,33.717522625,0.94403625,0.8039287500000001,0.6899685,0.3100315,3.215715375,4.215715375,89.113615375,33.627156625,1414.417865375,533.6654985,15.875,66.5
pythia_160m_to_1b,pythia,2,50,0.9,8,65.45128224999999,987.383551875,15.279329375,60.94915125,0.931295875,0.853985625,0.8061925,0.1938075,1.707971625,2.707971625,25.04090125,18.01598575,600.9368365,432.6094075,24.0,64.625
pythia_160m_to_1b,pythia,4,50,0.0,8,67.504734375,970.348368,14.822957125,62.711853625,0.929294,0.785373375,0.6515420000000001,0.348458,3.141493125,4.141493125,46.664799875,17.42501425,740.59712825,276.55002775,15.875,65.5
pythia_410m_to_2p8b,pythia,6,100,0.9,8,36.330105,1875.08545075,27.535078625,33.70689875,0.928157,0.794586,0.634559125,0.365440875,4.76751575,5.767515749999999,133.1733145,35.084130375,1597.978242875,420.3557285,12.0,68.125
pythia_160m_to_1b,pythia,2,100,0.9,8,65.803398875,980.4207421250001,15.20360675,60.14794725,0.914164875,0.820891375,0.774188625,0.225811375,1.64178325,2.64178325,24.745352875000002,17.778959625,606.02591725,435.407924,24.5,64.5
pythia_160m_to_1b,pythia,6,50,0.0,8,69.39953812499999,971.632178875,14.431971375,61.904534749999996,0.893828875,0.75633575,0.6232415,0.3767585,4.5380139999999995,5.5380139999999995,68.95037024999999,18.08354225,844.97970425,221.478963625,12.25,67.375
pythia_160m_to_1b,pythia,4,100,0.9,8,67.85507925,980.12244475,14.74531325,60.656249875,0.893239625,0.82772225,0.701431125,0.298568875,3.310889375,4.310889375,49.197742875,19.91301725,763.036067375,308.84590725,15.5,66.5
pythia_160m_to_1b,pythia,4,50,0.9,8,67.744406625,980.1469465,14.7720655,59.218136125,0.87326725,0.794570625,0.6622355,0.3377645,3.178282875,4.178282875,48.85110625,19.6969755,781.629652375,315.0015885,16.0,66.375
pythia_160m_to_1b,pythia,6,100,0.0,8,68.049247125,975.63189175,14.706219874999999,58.99721625,0.86759725,0.714967375,0.556881375,0.443118625,4.289803875,5.289803875,68.90757675,18.175681125,885.9576503750001,233.51850050000002,12.875,66.375
pythia_160m_to_1b,pythia,6,100,0.9,8,67.815559625,990.1718015,14.768694875,58.565225749999996,0.862086,0.76190475,0.560498,0.439502,4.571428625,5.571428625,71.516131875,20.998129875,875.37086325,256.877355125,12.25,67.125
pythia_160m_to_1b,pythia,6,50,0.9,8,67.056450375,988.382922625,14.934542,56.935975125,0.846557125,0.745701125,0.5970418749999999,0.402958125,4.4742065,5.4742065,72.27659675,21.252419875,902.768532375,264.87099075,12.5,66.25
smollm2_135m_to_1p7b,smollm2,2,50,0.0,8,37.839881875,1721.236917875,26.43225775,26.90751725,0.711340875,0.926385375,0.904265375,0.095734625,1.852770875,2.852770875,73.46061987499999,30.84302225,1679.783129,705.454601625,22.875,65.125
smollm2_135m_to_1p7b,smollm2,2,100,0.0,8,37.80677625,1709.43795025,26.455723374999998,26.4981755,0.700975,0.90147375,0.86940525,0.13059475,1.8029481250000001,2.802948125,73.242095625,30.833765875,1693.4403468750002,713.107326375,23.125,64.625
smollm2_135m_to_1p7b,smollm2,2,50,0.9,8,37.521763875,1732.5209365,26.65734425,25.482545875,0.678833375,0.880492375,0.847443125,0.152556875,1.7609848750000001,2.760984875,74.47081475,32.21126175,1759.60768325,761.273296375,23.625,65.0
smollm2_135m_to_1p7b,smollm2,2,100,0.9,8,37.72984475,1729.502559625,26.50669325,24.877619,0.659307375,0.843248375,0.790959125,0.20904087500000001,1.6864965,2.6864965,74.05440575,32.218117625,1804.735337,785.40543175,24.375,65.25
smollm2_135m_to_1p7b,smollm2,4,50,0.0,8,38.15380525,1716.9631775,26.226290875,24.17921775,0.633158375,0.823815625,0.774355125,0.225644875,3.2952630000000003,4.295263,143.500231875,31.80027,2204.778052,488.468475125,15.375,65.5
smollm2_135m_to_1p7b,smollm2,4,50,0.9,8,38.155980375,1726.660651625,26.220088750000002,24.0441025,0.630865625,0.842346375,0.723424375,0.276575625,3.369386125,4.369386125,145.22698825,34.161341875,2214.77540075,520.986752875,15.25,65.875
smollm2_135m_to_1p7b,smollm2,4,100,0.9,8,37.962677625,1732.19193775,26.3608825,23.418914125,0.61765475,0.81195625,0.696584875,0.303415125,3.247825125,4.247825125,144.93057725,34.108020125,2264.2028925,532.56205925,15.625,65.75
smollm2_135m_to_1p7b,smollm2,4,100,0.0,8,37.974349375,1718.56757425,26.352163875,23.244290125,0.611638125,0.776085125,0.66498025,0.33501975,3.104340375,4.104340375,142.3890255,31.86827075,2295.058366375,513.62407125,16.125,65.25
smollm2_135m_to_1p7b,smollm2,6,100,0.0,8,39.124746,1693.0700655,25.574692875,23.266441875,0.59536375,0.806386,0.690062125,0.30993787500000003,4.83831575,5.83831575,215.434128,32.42187175,2474.50987875,372.622640875,11.5,66.25
smollm2_135m_to_1p7b,smollm2,6,50,0.0,8,38.7281105,1717.39188575,25.857894125,21.281116625,0.550326375,0.71159425,0.54436425,0.45563575,4.269565875,5.269565875,212.610541875,32.32188825,2711.385474375,412.232894875,12.75,66.5
smollm2_135m_to_1p7b,smollm2,6,100,0.9,8,39.277585125,1738.042584125,25.479908125,21.455786125,0.54599725,0.73815075,0.553933625,0.446066375,4.4289042499999995,5.4289042499999995,214.942168375,35.28388325,2740.01902275,449.562887125,12.75,68.25
smollm2_135m_to_1p7b,smollm2,6,50,0.9,8,38.581111375,1726.875496375,25.935361,20.558408,0.532983875,0.7061055,0.55543525,0.44456475,4.236631875,5.236631875,215.78578375,35.6402875,2852.9139025,470.42522475,13.25,66.625
