pair_name,family,gamma,top_k,top_p,trials,baseline_large_tps,speculative_tps,speedup,acceptance_rate,all_accept_round_rate,resample_round_rate,avg_accepted_per_round,avg_contributed_per_round,avg_draft_generate_ms_per_round,avg_target_verify_ms_per_round,draft_generate_ms_total,target_verify_ms_total,rounds,generated_tokens
distilgpt2_to_gpt2_medium,gpt2,4,50,0.0,60,55.843567349999994,78.87456728333333,1.4114027833333334,0.7470393333333334,0.6012651000000001,0.3987349,2.98815755,3.98815755,26.6206261,23.847462216666667,446.1373422,399.791026,16.766666666666666,65.86666666666666
distilgpt2_to_gpt2_medium,gpt2,4,20,0.0,60,55.88274391666666,76.68916728333333,1.3704554833333333,0.72300695,0.5766864833333333,0.4233135166666667,2.8920278,3.8920278,26.654944016666665,23.938254233333335,459.24405095000003,412.4828662,17.283333333333335,65.88333333333334
distilgpt2_to_gpt2_medium,gpt2,2,50,0.0,60,55.11032528333333,71.8456622,1.3025127333333333,0.8090737166666667,0.7713446,0.2286554,1.6181477333333334,2.618147733333333,14.439684999999999,21.7831723,361.6892116833333,547.36576155,25.266666666666666,64.96666666666667
distilgpt2_to_gpt2_medium,gpt2,2,20,0.0,60,54.96711688333333,70.62150798333333,1.2839823499999998,0.7907558333333333,0.7477780666666667,0.25222193333333337,1.5815119333333334,2.581511933333333,14.479515450000001,21.827219183333334,367.4313503833334,555.6902084666667,25.6,64.96666666666667
distilgpt2_to_gpt2_medium,gpt2,4,50,0.9,60,54.91050136666667,64.12202841666667,1.16749845,0.7086557666666666,0.55693395,0.44306605,2.8346232000000002,3.8346232000000002,32.59804793333333,29.997098166666667,563.5316964166667,518.3826029166667,17.433333333333334,65.73333333333333
distilgpt2_to_gpt2_medium,gpt2,4,20,0.9,60,55.108522549999996,63.68030726666667,1.1550440166666667,0.7056725833333334,0.5708016833333333,0.4291983166666667,2.8226904166666666,3.8226904166666666,32.64409358333333,30.02985895,570.6274186166667,524.8315037666666,17.666666666666668,66.01666666666667
distilgpt2_to_gpt2_medium,gpt2,2,50,0.9,60,54.39195678333333,61.27446496666666,1.1245466,0.7853264333333333,0.7381891666666667,0.2618108333333333,1.5706530666666665,2.5706530666666665,18.180983383333334,25.58092848333333,464.57673281666666,654.9847806166667,25.7,65.08333333333333
distilgpt2_to_gpt2_medium,gpt2,2,20,0.9,60,54.15660103333333,59.641303900000004,1.0989797166666666,0.7635419166666666,0.7117854,0.2882146,1.52708405,2.52708405,18.355951133333335,25.854049816666667,471.81211706666664,666.9410565833333,26.016666666666666,64.86666666666666
qwen25_0p5b_to_3b,qwen2.5,4,20,0.0,60,23.336591016666667,24.82753455,1.0653614666666666,0.8737616833333334,0.8340758666666667,0.16592413333333333,3.4950468999999997,4.4950469,125.35494585,55.01758881666667,1871.1925650333333,824.4601939166666,14.883333333333333,66.21666666666667
opt_125m_to_1p3b,opt,2,20,0.0,60,58.15654693333333,57.474500649999996,1.0653508,0.8745686833333333,0.8452567333333333,0.15474326666666668,1.74913755,2.74913755,23.541729666666665,24.5184389,559.2456735166667,582.6181321666667,23.683333333333334,64.85
qwen25_0p5b_to_3b,qwen2.5,2,50,0.0,60,22.9314469,24.33197855,1.06128285,0.9186056833333333,0.89853945,0.10146055000000001,1.83721155,2.83721155,64.3787024,51.4357558,1482.7899020833333,1185.26760405,22.983333333333334,65.03333333333333
qwen25_0p5b_to_3b,qwen2.5,4,50,0.0,60,23.218957516666666,24.644207083333335,1.06111675,0.8591043666666667,0.8102640833333333,0.18973591666666667,3.4364177,4.436417700000001,124.77618838333333,54.616864250000006,1892.0486327666665,832.1639891833333,15.116666666666667,65.96666666666667
qwen25_0p5b_to_3b,qwen2.5,2,20,0.0,60,22.931865249999998,24.26448555,1.0580854166666667,0.9140840166666667,0.8915507333333333,0.10844926666666667,1.8281680166666667,2.8281680166666665,64.36893885,51.46008663333334,1490.7291917666666,1192.4305848833333,23.1,65.11666666666666
qwen25_1p5b_to_3b,qwen2.5,4,50,0.0,60,22.876202666666664,23.14584315,1.0121915833333335,0.9310610166666666,0.9025646833333333,0.09743531666666666,3.7242442666666666,4.724244266666667,147.40006163333334,55.80156781666667,2058.524628116667,780.74773545,13.95,65.58333333333333
opt_125m_to_1p3b,opt,4,50,0.0,60,60.10268153333333,60.68850858333334,1.0094854333333332,0.81625405,0.7259542833333333,0.27404571666666666,3.2650166833333336,4.265016683333333,43.39420335,27.194813383333333,679.2545767666667,426.10093206666664,15.65,66.03333333333333
opt_125m_to_1p3b,opt,4,20,0.0,60,59.536798950000005,59.48989816666666,0.9983219666666667,0.79542215,0.7138422999999999,0.2861577,3.181688733333333,4.181688733333334,43.465811333333335,27.256324366666668,689.66950835,433.05666628333336,15.85,65.68333333333334
qwen25_1p5b_to_3b,qwen2.5,4,20,0.0,60,22.933412616666665,22.8809713,0.9978199333333334,0.9173807333333334,0.8828167666666666,0.11718323333333334,3.6695232666666664,4.669523266666667,147.4069266333333,55.81755105,2085.971882083333,791.6428503000001,14.133333333333333,65.66666666666667
qwen25_1p5b_to_3b,qwen2.5,2,50,0.0,60,22.7602172,22.697556733333332,0.99716455,0.9587586333333333,0.9532551,0.0467449,1.91751755,2.91751755,75.62568483333332,52.020227616666666,1689.9568784333335,1162.7654192833334,22.333333333333332,65.11666666666666
qwen25_1p5b_to_3b,qwen2.5,2,20,0.0,60,22.689583816666666,22.564346250000003,0.9938949833333334,0.9532623166666667,0.9443854333333334,0.05561456666666667,1.9065250333333335,2.9065250333333332,75.80117728333333,52.14517633333333,1695.4996558833334,1166.3748645833334,22.366666666666667,64.96666666666667
qwen25_0p5b_to_3b,qwen2.5,2,20,0.9,60,22.699801216666668,22.30168666666667,0.98234735,0.8862103666666666,0.8608792833333333,0.13912071666666667,1.7724211166666668,2.7724211166666666,69.13933758333333,56.23789743333334,1630.5801963166666,1327.5389447999999,23.5,64.88333333333334
qwen25_0p5b_to_3b,qwen2.5,2,50,0.9,60,22.688721033333334,22.259459333333332,0.9806895999999999,0.8742779333333334,0.8455957333333334,0.15440426666666665,1.7485561166666668,2.7485561166666668,68.72038913333333,55.83286565,1643.7563660333333,1337.6838488333335,23.783333333333335,64.9
opt_125m_to_1p3b,opt,2,50,0.0,60,58.84255838333333,57.61922358333333,0.9787158833333333,0.8788835333333334,0.8515660833333333,0.14843391666666667,1.7577673166666665,2.7577673166666665,23.470405066666668,24.494520683333334,554.2468546833334,578.7009965166667,23.616666666666667,64.88333333333334
qwen25_0p5b_to_3b,qwen2.5,4,50,0.9,60,23.1044643,22.582709216666668,0.9774832833333333,0.8342641666666667,0.7714844166666667,0.22851558333333336,3.3370571166666663,4.337057116666667,132.26003516666665,61.82757281666667,2052.17380615,964.7790684833333,15.45,66.01666666666667
qwen25_0p5b_to_3b,qwen2.5,4,20,0.9,60,23.064595033333333,22.442098383333335,0.9735589833333333,0.8238267833333333,0.7556069166666667,0.24439308333333334,3.2953074333333334,4.295307433333334,131.92099455,61.65100555,2076.4031881833334,977.4300981833334,15.65,65.9
qwen25_1p5b_to_3b,qwen2.5,2,20,0.9,60,22.517302383333334,20.801333616666668,0.9235116,0.9150946333333334,0.8973333333333334,0.10266666666666667,1.8301894833333334,2.8301894833333336,80.32240796666666,56.755230233333336,1852.5366173333334,1310.5836573000001,23.0,64.96666666666667
qwen25_1p5b_to_3b,qwen2.5,2,50,0.9,60,22.536356766666664,20.791917166666668,0.9224004833333334,0.9114634166666666,0.8932329833333333,0.10676701666666667,1.8229271500000002,2.82292715,80.11949588333333,56.61316588333333,1852.1022572833333,1310.4025500999999,23.05,64.91666666666667
qwen25_1p5b_to_3b,qwen2.5,4,50,0.9,60,22.8590085,20.971186916666667,0.91744655,0.88163475,0.8344756166666667,0.16552438333333336,3.5265394999999997,4.5265395,154.68043025,63.11014638333334,2268.7960702166665,928.8852032166667,14.633333333333333,65.88333333333334
qwen25_0p5b_to_1p5b,qwen2.5,2,50,0.0,60,30.114865483333332,27.4957466,0.9130755166666666,0.9383839666666667,0.9234132666666667,0.07658673333333334,1.8767680666666666,2.8767680666666666,63.6011876,40.517719416666665,1439.7974678166668,917.6068767166666,22.616666666666667,64.95
qwen25_1p5b_to_3b,qwen2.5,4,20,0.9,60,22.81426221666667,20.800553233333336,0.9106951999999999,0.8689471166666667,0.8255800833333333,0.17441991666666665,3.47578875,4.47578875,154.47270201666666,62.9523669,2301.1249343500003,942.2601328333333,14.85,65.8
qwen25_0p5b_to_1p5b,qwen2.5,2,20,0.0,60,30.067511316666664,27.077962449999998,0.9007332833333332,0.9164399,0.8961193833333334,0.10388061666666666,1.8328801833333335,2.8328801833333332,63.64984545,40.53152285,1461.5531602,931.5273468333332,22.916666666666668,64.78333333333333
qwen25_0p5b_to_1p5b,qwen2.5,4,50,0.0,60,30.3823846,27.260009949999997,0.8974902333333333,0.8921055,0.8435663833333333,0.1564336166666667,3.568422366666667,4.568422366666667,123.56351509999999,43.52345186666666,1792.7800357166666,633.3511939166667,14.483333333333333,65.65
qwen25_0p5b_to_1p5b,qwen2.5,4,20,0.0,60,30.442701616666668,27.1674747,0.8930980166666667,0.8856926,0.8349567833333335,0.16504321666666666,3.5427708,4.5427708,123.38041083333333,43.44481821666667,1806.0369607,638.47149935,14.6,65.73333333333333
pythia_160m_to_1b,pythia,2,50,0.0,60,71.1784918,62.42176236666667,0.8764355166666667,0.9040657,0.88085625,0.11914375,1.80813165,2.80813165,26.258840516666666,19.164202050000004,609.7523145666667,445.4695178666667,23.166666666666668,64.9
opt_125m_to_1p3b,opt,4,20,0.9,60,59.17957558333333,51.27741725,0.8643683166666667,0.7712269500000001,0.6684410333333334,0.3315589666666667,3.0849080333333334,4.084908033333333,50.154057316666666,34.19324133333334,821.4400578833333,560.4754084666667,16.383333333333333,66.13333333333334
opt_125m_to_1p3b,opt,2,50,0.9,60,57.993122633333336,50.23154043333333,0.86427735,0.8616732500000001,0.8188592166666666,0.18114078333333333,1.7233466666666668,2.7233466666666666,27.987788066666667,29.108504566666667,673.78563705,701.0577104,23.95,64.83333333333333
pythia_160m_to_1b,pythia,2,20,0.0,60,71.12178706666667,61.22299316666667,0.860989,0.8723264833333334,0.8370026166666666,0.16299738333333333,1.7446533166666667,2.7446533166666667,26.160524766666665,19.08284581666667,624.0841856833333,456.16385928333335,23.733333333333334,64.93333333333334
pythia_160m_to_1b,pythia,4,50,0.0,60,72.13032111666666,61.872077383333334,0.8570328333333334,0.8449489166666667,0.76921965,0.23078035,3.3797959,4.3797959,49.70649345,21.857493933333334,758.138966,334.0281570833333,15.233333333333333,65.83333333333333
opt_125m_to_1p3b,opt,4,50,0.9,60,58.903094900000006,50.509071250000005,0.85606035,0.7591081333333334,0.6493961166666666,0.3506038833333333,3.03643295,4.03643295,50.07659435,34.05402526666667,825.6819421833334,561.3304227000001,16.533333333333335,65.88333333333334
opt_125m_to_1p3b,opt,2,20,0.9,60,58.004649816666664,49.50080025,0.8521640833333334,0.8532710166666667,0.8170048333333334,0.18299516666666668,1.7065422666666668,2.7065422666666668,28.229078916666666,29.356025233333334,679.8332628333334,707.33195845,24.083333333333332,64.88333333333334
qwen25_0p5b_to_1p5b,qwen2.5,2,20,0.9,60,29.854672766666667,25.055558,0.8389036833333333,0.9045055333333334,0.87304675,0.12695325,1.8090110833333335,2.809011083333333,68.36226753333334,45.3016443,1591.9723433833335,1056.5742652833333,23.216666666666665,65.05
qwen25_0p5b_to_1p5b,qwen2.5,2,50,0.9,60,29.952603616666668,25.100378133333333,0.8376965166666667,0.9047849166666667,0.8714192500000001,0.12858075,1.8095698666666666,2.8095698666666666,68.25024993333334,45.181497783333334,1590.3541718833333,1054.04966365,23.25,65.15
pythia_160m_to_1b,pythia,4,20,0.0,60,72.69866468333333,60.78399243333333,0.8358015000000001,0.823229,0.7430042833333333,0.25699571666666665,3.29291605,4.2929160500000005,49.56543595,21.771281266666666,777.1461098,342.8321738,15.633333333333333,66.26666666666667
qwen25_0p5b_to_1p5b,qwen2.5,4,20,0.9,60,30.229841099999998,24.60363105,0.81353575,0.8496843333333334,0.7811861333333333,0.2188138666666667,3.398737783333333,4.398737783333333,130.6961243,50.766059266666666,1979.4765520666667,772.5169768166667,15.1,65.75
